TEAM,CONF,YEAR,G,W,WIN_RATE,WAB,MADE_TOURNAMENT,SEED,POSTSEASON,Predicted_Tournament_Probability,Predicted_Made_Tournament,Prediction,Actual,Correct
Tennessee,SEC,2019,36,31,0.8611,9.9,1,2.0,S16,0.989,1,Make March Madness,Made March Madness,True
Texas Tech,B12,2019,38,31,0.8158,7.0,1,3.0,2ND,0.9876,1,Make March Madness,Made March Madness,True
Virginia,ACC,2019,38,35,0.9211,11.1,1,1.0,Champions,0.9873,1,Make March Madness,Made March Madness,True
Gonzaga,WCC,2019,37,33,0.8919,7.0,1,1.0,E8,0.9827,1,Make March Madness,Made March Madness,True
Virginia Tech,ACC,2019,35,26,0.7429,5.0,1,4.0,S16,0.9807,1,Make March Madness,Made March Madness,True
Houston,Amer,2019,37,33,0.8919,7.8,1,3.0,S16,0.979,1,Make March Madness,Made March Madness,True
Mississippi St.,SEC,2019,34,23,0.6765,4.5,1,5.0,R64,0.9787,1,Make March Madness,Made March Madness,True
LSU,SEC,2019,35,28,0.8,7.3,1,3.0,S16,0.9782,1,Make March Madness,Made March Madness,True
Duke,ACC,2019,38,32,0.8421,11.2,1,1.0,E8,0.9773,1,Make March Madness,Made March Madness,True
Auburn,SEC,2019,39,30,0.7692,6.1,1,5.0,F4,0.9773,1,Make March Madness,Made March Madness,True
Purdue,B10,2019,36,26,0.7222,6.1,1,3.0,E8,0.9757,1,Make March Madness,Made March Madness,True
Cincinnati,Amer,2019,35,28,0.8,5.8,1,7.0,R64,0.975,1,Make March Madness,Made March Madness,True
UCF,Amer,2019,33,24,0.7273,2.0,1,9.0,R32,0.9748,1,Make March Madness,Made March Madness,True
Iowa St.,B12,2019,35,23,0.6571,4.3,1,6.0,R64,0.9743,1,Make March Madness,Made March Madness,True
Nevada,MWC,2019,34,29,0.8529,3.8,1,7.0,R64,0.9735,1,Make March Madness,Made March Madness,True
Kentucky,SEC,2019,37,30,0.8108,8.8,1,2.0,E8,0.9719,1,Make March Madness,Made March Madness,True
Michigan St.,B10,2019,39,32,0.8205,10.7,1,2.0,F4,0.9713,1,Make March Madness,Made March Madness,True
Buffalo,MAC,2019,35,32,0.9143,5.5,1,6.0,R32,0.971,1,Make March Madness,Made March Madness,True
Michigan,B10,2019,37,30,0.8108,9.2,1,2.0,S16,0.968,1,Make March Madness,Made March Madness,True
North Carolina,ACC,2019,36,29,0.8056,10.0,1,1.0,S16,0.9672,1,Make March Madness,Made March Madness,True
Wisconsin,B10,2019,34,23,0.6765,6.3,1,5.0,R64,0.9658,1,Make March Madness,Made March Madness,True
Kansas St.,B12,2019,34,25,0.7353,6.5,1,4.0,R64,0.9604,1,Make March Madness,Made March Madness,True
Louisville,ACC,2019,34,20,0.5882,2.3,1,7.0,R64,0.9578,1,Make March Madness,Made March Madness,True
Kansas,B12,2019,36,26,0.7222,8.3,1,4.0,R32,0.957,1,Make March Madness,Made March Madness,True
Florida St.,ACC,2019,37,29,0.7838,7.6,1,4.0,S16,0.9566,1,Make March Madness,Made March Madness,True
Iowa,B10,2019,35,23,0.6571,3.2,1,10.0,R32,0.9524,1,Make March Madness,Made March Madness,True
Maryland,B10,2019,34,23,0.6765,4.2,1,6.0,R32,0.9507,1,Make March Madness,Made March Madness,True
Oklahoma,B12,2019,34,20,0.5882,2.5,1,9.0,R32,0.9506,1,Make March Madness,Made March Madness,True
Villanova,BE,2019,36,26,0.7222,3.6,1,6.0,R32,0.9503,1,Make March Madness,Made March Madness,True
Marquette,BE,2019,34,24,0.7059,2.7,1,5.0,R64,0.9469,1,Make March Madness,Made March Madness,True
Wofford,SC,2019,32,30,0.9375,4.0,1,7.0,R32,0.9328,1,Make March Madness,Made March Madness,True
Murray St.,OVC,2019,31,28,0.9032,1.2,1,12.0,R32,0.928,1,Make March Madness,Made March Madness,True
Washington,P12,2019,36,27,0.75,3.1,1,9.0,R32,0.9231,1,Make March Madness,Made March Madness,True
Belmont,OVC,2019,32,27,0.8438,1.2,1,11.0,R64,0.9187,1,Make March Madness,Made March Madness,True
New Mexico St.,WAC,2019,33,30,0.9091,1.4,1,12.0,R64,0.915,1,Make March Madness,Made March Madness,True
VCU,A10,2019,33,25,0.7576,1.1,1,8.0,R64,0.9125,1,Make March Madness,Made March Madness,True
Minnesota,B10,2019,36,22,0.6111,2.7,1,10.0,R32,0.9057,1,Make March Madness,Made March Madness,True
Florida,SEC,2019,36,20,0.5556,0.7,1,10.0,R32,0.9021,1,Make March Madness,Made March Madness,True
Liberty,BSth,2019,33,29,0.8788,-0.6,1,12.0,R32,0.8922,1,Make March Madness,Made March Madness,True
UC Irvine,BW,2019,36,31,0.8611,0.7,1,13.0,R32,0.8687,1,Make March Madness,Made March Madness,True
Abilene Christian,Slnd,2019,30,27,0.9,-2.6,1,15.0,R64,0.8515,1,Make March Madness,Made March Madness,True
Temple,Amer,2019,33,23,0.697,1.8,1,11.0,R68,0.8362,1,Make March Madness,Made March Madness,True
Baylor,B12,2019,34,20,0.5882,0.9,1,9.0,R32,0.8224,1,Make March Madness,Made March Madness,True
Syracuse,ACC,2019,34,20,0.5882,0.4,1,8.0,R64,0.7812,1,Make March Madness,Made March Madness,True
TCU,B12,2019,37,23,0.6216,1.1,0,,,0.7673,1,Make March Madness,Missed March Madness,False
Mississippi,SEC,2019,33,20,0.6061,0.9,1,8.0,R64,0.7506,1,Make March Madness,Made March Madness,True
Ohio St.,B10,2019,35,20,0.5714,0.9,1,11.0,R32,0.7429,1,Make March Madness,Made March Madness,True
UNC Greensboro,SC,2019,34,29,0.8529,1.9,0,,,0.7323,1,Make March Madness,Missed March Madness,False
Utah St.,MWC,2019,34,28,0.8235,2.0,1,8.0,R64,0.6976,1,Make March Madness,Made March Madness,True
Prairie View A&M,SWAC,2019,34,22,0.6471,-7.1,1,16.0,R68,0.6536,1,Make March Madness,Made March Madness,True
Saint Mary's,WCC,2019,34,22,0.6471,-0.8,1,11.0,R64,0.5887,1,Make March Madness,Made March Madness,True
Georgia St.,SB,2019,33,24,0.7273,-1.3,1,14.0,R64,0.5439,1,Make March Madness,Made March Madness,True
North Carolina St.,ACC,2019,36,24,0.6667,1.9,0,,,0.5237,1,Make March Madness,Missed March Madness,False
Montana,BSky,2019,33,26,0.7879,-3.2,1,15.0,R64,0.5062,1,Make March Madness,Made March Madness,True
Gardner Webb,BSth,2019,32,23,0.7188,-5.0,1,16.0,R64,0.485,0,Miss March Madness,Made March Madness,False
Northern Kentucky,Horz,2019,33,26,0.7879,-2.2,1,14.0,R64,0.4828,0,Miss March Madness,Made March Madness,False
Fairleigh Dickinson,NEC,2019,33,21,0.6364,-9.3,1,16.0,R64,0.4727,0,Miss March Madness,Made March Madness,False
Yale,Ivy,2019,29,22,0.7586,-0.9,1,14.0,R64,0.464,0,Miss March Madness,Made March Madness,False
Northeastern,CAA,2019,34,23,0.6765,-2.8,1,13.0,R64,0.4218,0,Miss March Madness,Made March Madness,False
Lipscomb,ASun,2019,35,29,0.8286,-0.5,0,,,0.4015,0,Miss March Madness,Missed March Madness,True
Hofstra,CAA,2019,34,27,0.7941,-1.9,0,,,0.4003,0,Miss March Madness,Missed March Madness,True
Utah Valley,WAC,2019,33,25,0.7576,-2.3,0,,,0.3736,0,Miss March Madness,Missed March Madness,True
Furman,SC,2019,30,25,0.8333,-0.4,0,,,0.3625,0,Miss March Madness,Missed March Madness,True
Vermont,AE,2019,33,27,0.8182,-1.0,1,13.0,R64,0.3459,0,Miss March Madness,Made March Madness,False
Seton Hall,BE,2019,34,20,0.5882,-0.4,1,10.0,R64,0.3327,0,Miss March Madness,Made March Madness,False
Arizona St.,P12,2019,34,23,0.6765,0.1,1,11.0,R64,0.331,0,Miss March Madness,Made March Madness,False
Old Dominion,CUSA,2019,35,26,0.7429,-1.8,1,14.0,R64,0.3286,0,Miss March Madness,Made March Madness,False
Clemson,ACC,2019,34,20,0.5882,0.1,0,,,0.3265,0,Miss March Madness,Missed March Madness,True
Davidson,A10,2019,33,24,0.7273,-0.9,0,,,0.3091,0,Miss March Madness,Missed March Madness,True
Toledo,MAC,2019,32,25,0.7812,-0.1,0,,,0.2932,0,Miss March Madness,Missed March Madness,True
Presbyterian,BSth,2019,33,20,0.6061,-9.6,0,,,0.2906,0,Miss March Madness,Missed March Madness,True
Central Michigan,MAC,2019,32,23,0.7188,-4.0,0,,,0.2736,0,Miss March Madness,Missed March Madness,True
Texas Southern,SWAC,2019,36,24,0.6667,-6.6,0,,,0.2735,0,Miss March Madness,Missed March Madness,True
Texas,B12,2019,37,21,0.5676,-0.5,0,,,0.2624,0,Miss March Madness,Missed March Madness,True
Bradley,MVC,2019,34,20,0.5882,-7.9,1,15.0,R64,0.2557,0,Miss March Madness,Made March Madness,False
Colgate,Pat,2019,34,24,0.7059,-4.4,1,15.0,R64,0.2378,0,Miss March Madness,Made March Madness,False
Texas St.,SB,2019,32,24,0.75,-3.3,0,,,0.2369,0,Miss March Madness,Missed March Madness,True
Oregon,P12,2019,38,25,0.6579,-1.1,1,12.0,S16,0.2331,0,Miss March Madness,Made March Madness,False
St. John's,BE,2019,34,21,0.6176,-1.2,1,11.0,R68,0.2329,0,Miss March Madness,Made March Madness,False
East Tennessee St.,SC,2019,32,24,0.75,-1.5,0,,,0.2266,0,Miss March Madness,Missed March Madness,True
